State wise scores of individual parameters,Quality of Road Infrastructure,Quality of Warehousing Infrastructure,Quality of Logistics Services,Capability of Logistics Service Providers,Timeliness of Cargo Delivery
Gujarat,3.85,3.6,3.71,3.64,3.55
Haryana,3.68,3.74,3.69,3.8,3.7
Punjab,3.88,3.72,3.89,3.87,3.56
TamilNadu,3.68,3.52,3.67,3.72,3.57
Maharashtra,3.4,3.51,3.68,3.66,3.53
UttarPradesh,3.47,3.23,3.45,3.47,3.46
Odisha,3.28,2.81,3.52,3.49,3.18
Karnataka,3.51,3.5,3.52,3.52,3.56
AndhraPradesh,3.59,3.27,3.55,3.5,3.48
Telangana,3.48,3.21,3.52,3.56,3.67
Chhattisgarh,3.31,3.3,3.33,3.38,3.33
Jharkhand,2.88,3.05,3.22,3.34,3.01
Uttarakhand,3.03,3.15,3.29,3.24,3.12
Kerala,3,2.9,3.54,3.51,3.44
WestBengal,3.04,3.03,3.23,3.49,3.21
Rajasthan,3.19,2.9,3.19,3.44,3.24
MadhyaPradesh,3.07,2.71,3.01,2.92,2.87
Goa,3.07,2.85,3,3.06,3.09
Bihar,2.77,2.46,2.63,2.77,2.75
HimachalPradesh,3.45,2.89,2.93,3,3.01
Assam,2.64,2.45,2.65,2.85,2.48
Jammu Kasmhir,2.46,2.5,2.72,2.64,2.8
Sikkim,2.3,2.3,2.18,2.33,2.55
Meghalaya,2.06,2.29,2.19,2.34,2.07
Tripura,2.37,2.24,2.08,2.26,2.15
ArunachalPradesh,2.21,2.33,2.17,2.17,2.21
Manipur,1.96,2.08,1.87,2.22,1.87
Mizoram,1.93,2,2.07,2.13,2.07
Nagaland,2.21,1.92,1.87,1.78,2.04
Delhi,3.66,3.42,3.54,3.7,3.45
Chandigarh,3.86,3.57,3.38,3.46,3.48
